"","x"
"1","Delus_ReferenceF1"
"2","Delus_ReferenceF2"
"3","Delus_ReferenceF3"
"4","Delus_ReferenceF4"
"5","Delus_ReferenceF5"
"6","Delus_ReferenceF6"
"7","Delus_PersecF1"
"8","Delus_PersecF2"
"9","Delus_PersecF3"
"10","Delus_PersecF4"
"11","Delus_PersecF5"
"12","Delus_PersecF6"
"13","N_close_friendsF1"
"14","N_close_friendsF2"
"15","N_close_friendsF3"
"16","N_close_friendsF4"
"17","N_close_friendsF5"
"18","N_close_friendsF6"
"19","Quality_friendsF1"
"20","Quality_friendsF2"
"21","Quality_friendsF3"
"22","Quality_friendsF4"
"23","Quality_friendsF5"
"24","Quality_friendsF6"
"25","Time_w_friendsF1"
"26","Time_w_friendsF2"
"27","Time_w_friendsF3"
"28","Time_w_friendsF4"
"29","Time_w_friendsF5"
"30","Time_w_friendsF6"
"31","Soc_SatisfactionF1"
"32","Soc_SatisfactionF2"
"33","Soc_SatisfactionF3"
"34","Soc_SatisfactionF4"
"35","Soc_SatisfactionF5"
"36","Soc_SatisfactionF6"
